Nome,Idade
22.0,34.0
Marcelo,48.0
Aline,30.0
Vanessa,41.0
Adriana,53.0
Antonio,20.0
Leandro,57.0
Joao,33.0
José,32.0
Renata,59.0
Rodrigo,65.0
Larissa,44.0
Marcos,32.0
Luciana,41.0
Marcos,28.0
Luiz,19.0
Francisca,26.0
Mariana,44.0
Ana,56.0
Paula,42.0
Antonio,57.0
Leonardo,22.0
Maria,62.0
Amanda,23.0
Matheus,44.0
Bruno,26.0
Mariana,37.0
Luiz,33.0
Jessica,41.0
Rodrigo,55.0
Bruno,26.0
Maria,24.0
Matheus,27.0
Bruna,24.0
Ana,52.0
Daniel,62.0
Fernando,56.0
Diego,30.0
Leandro,51.0
Aline,48.0
Ricardo,45.0
Mariana,38.0
Felipe,50.0
José,60.0
Camila,29.0
Luciana,60.0
Rafael,43.0
Matheus,38.0
Vanessa,26.0
Maria,38.0
Marcia,42.0
Joao,18.0
Francisca,47.0
Luciana,27.0
Pedro,41.0
Diego,23.0
Luiz,42.0
Diego,28.0
Marcia,
Pedro,43.0
Raquel,40.0
Fatima,51.0
Thiago,34.0
Lucas,36.0
João,65.0
Eliane,50.0
Fernando,37.0
Camila,36.0
Patricia,29.0
Diego,40.0
Ana,39.0
Claudia,29.0
Carla,24.0
Matheus,38.0
Renata,24.0
Ana,36.0
Leonardo,57.0
Rodrigo,20.0
Gustavo,49.0
Bruna,56.0
Jessica,20.0
Juliana,52.0
Mariana,52.0
Felipe,50.0
Marcelo,53.0
Felipe,49.0
Ricardo,48.0
Marcos,64.0
Vanessa,27.0
Marcelo,50.0
Bruno,23.0
Ana Paula,30.0
Marcia,51.0
Camila,46.0
João,30.0
Paulo,40.0
Juliana,39.0
Fernando,56.0
Marcos,35.0
Joao,61.0
Bruno,51.0
João,63.0
Fernanda,56.0
Ricardo,57.0
Carlos,41.0
Jose,61.0
José,41.0
Eduardo,49.0
Jessica,57.0
Rafael,42.0
João,57.0
Marcos,52.0
João,24.0
Jose,36.0
Vanessa,45.0
Joao,45.0
Jose,40.0
Francisca,35.0
Rafael,41.0
Francisco,65.0
Fernanda,50.0
Anderson,38.0
Carla,21.0
Aline,19.0
Fatima,54.0
Leandro,51.0
Pedro,43.0
Luciana,64.0
Paula,58.0
Sandra,20.0
Paulo,59.0
Pedro,43.0
Mariana,56.0
Raquel,48.0
José,44.0
Luana,39.0
Carlos,65.0
Leonardo,38.0
Sandra,60.0
Beatriz,46.0
Ana Paula,24.0
Leonardo,37.0
Marcos,50.0
Aline,18.0
Guilherme,29.0
Pedro,36.0
Jessica,22.0
Adriana,50.0
Matheus,61.0
Fernanda,39.0
Lucas,36.0
Carla,43.0
Marcelo,29.0
Luana,55.0
Luiz,49.0
Ana,29.0
Eduardo,44.0
Mariana,33.0
Antonio,53.0
Juliana,44.0
Diego,22.0
Lucas,26.0
Antonio,31.0
Francisca,65.0
Felipe,55.0
Aline,62.0
Juliana,31.0
José,54.0
Eduardo,20.0
Leonardo,33.0
Camila,56.0
Thiago,30.0
Bruno,55.0
Luana,46.0
Marcelo,39.0
Camila,53.0
Thiago,47.0
Guilherme,43.0
Larissa,47.0
Claudia,60.0
Thiago,54.0
Paulo,35.0
Leonardo,39.0
Fernanda,59.0
Paulo,19.0
Lucas,62.0
Fernanda,45.0
Fabiana,51.0
Marcelo,38.0
Rodrigo,61.0
Mariana,57.0
Paula,30.0
Daniel,52.0
Daniel,23.0
João,21.0
Aline,42.0
Matheus,55.0
Patricia,61.0
Daniel,49.0
Leonardo,43.0
Luiz,28.0
Aline,25.0
Larissa,44.0
Daniel,61.0
Fatima,58.0
Bruna,29.0
Thiago,62.0
Marcos,38.0
Juliana,47.0
Vanessa,32.0
Fatima,31.0
João,41.0
Marcelo,64.0
Anderson,52.0
Patricia,24.0
Felipe,29.0
Jessica,34.0
Leandro,30.0
Anderson,41.0
Beatriz,25.0
Guilherme,61.0
Pedro,27.0
Raquel,31.0
Marcos,25.0
Antonio,55.0
Ricardo,25.0
Juliana,21.0
Gabriela,25.0
Anderson,55.0
Fatima,42.0
Adriana,37.0
Felipe,50.0
Luana,45.0
Beatriz,53.0
Leandro,45.0
Ana Paula,30.0
Jessica,35.0
Beatriz,59.0
Anderson,42.0
Gabriela,24.0
Beatriz,18.0
Bruno,20.0
Lucas,52.0
Luciana,38.0
Anderson,61.0
Aline,59.0
Francisco,56.0
Amanda,48.0
Rafael,30.0
Luiz,48.0
Marcos,52.0
Rodrigo,52.0
Beatriz,52.0
Gabriel,26.0
Leonardo,30.0
Bruna,40.0
Ana,24.0
Juliana,41.0
Francisco,36.0
Matheus,49.0
Leandro,25.0
Paula,52.0
Felipe,48.0
Vanessa,20.0
Gabriel,31.0
José,63.0
Ana Paula,43.0
Diego,55.0
Leandro,23.0
Beatriz,24.0
Fabiana,45.0
Luiz,25.0
Raquel,58.0
Anderson,29.0
Thiago,27.0
Carlos,44.0
Vanessa,44.0
Renata,24.0
Rafael,33.0
Marcos,19.0
Paulo,37.0
Raquel,26.0
Jessica,30.0
